Color,Height,Material,Type,Extra_Features
Brown,low,brick,Residential building / Apartment,"gray vertical columns, dragon sinage"
Black and Gray,low,brick,Residential building / Apartment,"ornate stone detailing at the base, uniform glass facade"
Light Gray - with brown accents,medium,brick,Residential building / Apartment,"dark brown vertical columns, broken glass windows"
Dark brown and black,medium,brick and metal,Residential building / Apartment,"broken glass windows, three entrances"
Red - brown and black,low,brick and metal,Shop,"broken glass windows, weathered signage, red awnings"
Gray and red - brown,medium,brick,Residential / Commercial Building,"Red - brick base with dark storefronts, weathered signage, green broken awnings"
A beige lower floor with a red - brown upper floor,high,brick and glass,Office Building / Commercial Building,"large glass windows at the base, multiple wall-mounted outdoor lights"
Off-white and gray,high,stone,Office Building / Commercial Building,"ornate stone carvings, tall vertical windows, grand arched entrance"
Light gray at lower floors and dark gray at upper floors,high,glass and stone,Office Building / Commercial Building,"ornate stone detailing on lower floors, grand arched entrance, Vertical stone columnss"
Dark black,high,glass,Skyscraper,"All - glass facade with a grid pattern, Single rectangular entrance"
Pinkish - brown,medium,brick,Apartment,"ornate brick detailing, gold - colored double entrance doors, tall vertical windows"
Red - brown and gray,medium,brick and stone,Apartment,"ornate stone detailing at base, Red - brick facade with bay windows, gold - colored entrance doors, Gray stone accents on the lower floors"
Light gray at lower floors and dark gray at upper floors,high,glass and stone,Office Building / Commercial Building,"Ornate light - gray stone detailing on the lower floors, large glass windows, gold - framed entrance doors"
Red - brown and gray,high,brick and stone,Apartment,"arched stone entrance, bay windows, ornate stone detailing"
Gray and white,high,brick and concrete,Skyscraper,"Checkered facade design, Vertical lines of windows, A white horizontal canopy extends from the building facades"
Light gray,high,concrete,Skyscraper,"Glass canopy over the entrance, A rhythmic pattern of outward projections"
Gray,high,stone,Office Building / Commercial Building,"Vertical stone columns on the facade, Ornate arched doorways with gold detailing, Small rectangular windows above the arches"
White - gray,high,stone,Bell Tower,"Ornate arched windows with decorative stonework, Gold - colored doors at the ground level"
White-Gray,medium,stone,Office Building / Commercial Building,"gold - colored double doors at the entrance, rectangular windows with dark frames"
Light gray,high,stone,Bell Tower,"Large arched entrance at the ground level, Vertical stone columns on the facade"
Dark blue - black,high,glass,Office Building / Commercial Building,"All - glass facade with a grid pattern, Single rectangular entrance, Reflective glass surface showing sky and surroundings"
Gray,low,concrete,Office Building / Commercial Building,"rectangular windows with dark frames, A regular pattern of vertical dark glass windows is framed by light beige stone. "
Light gray with green dome,high,stone,Museum,"Grand columns on the facade, Ornate arched windows with gold detailing, The entrance features a grand neoclassical portico with tall Corinthian columns supporting a detailed triangular pediment"
Beige and gray with red awnings,low,concrete and brick,Residential building / Apartment,"curved balconies, glass doors with posters indicate a convenience store, metal roller doors and a large pile of white cardboard boxes"
Gray and blue,high,concrete,Residential building / Apartment,"blue - tiled lower section, several metal roller doors, signage for convenience store and mini - supermarket, various advertisements, Striped awning over a small entrance"
Gray,high,concrete,Residential building / Apartment,"Boxes and items stacked outside ground, A large graffiti painting near the colorful trash binss"
Beige and gray,low,concrete,Residential building / Apartment,"Signs in Chinese characters, Stacked boxes and a hand truck outside, Large ground - level windows and metal shutters"
Gray and glass - reflective,high,glass and concrete,Residential / Commercial Building,"A wide glass wall facade divided into a grid by dark metal frames, Outdoor kiosk with a blue umbrella"
Gray,high,concrete,Residential / Commercial Building,"Small striped awnings over ground - level entrances, several red signs, Stacked boxes and packages outside, glass doors"
Gray,medium,concrete,School,"A low fence with brick posts and wire mesh panels surrounds the front area., school appearance, red tennis court on premises, fenced - in area"
Brown and gray,low - medium,concrete,Parking garage,"A red-and-white striped barrier blocks the entry path, Entrance sign with 'WELCOME' and Chinese characters"
Dark brown,high,concrete and glass,"Residential, recreational and commercial building","Signs in Chinese characters, A row of large glass-panel doors in a dark concrete wall.,  Small green trash binsd and several cardboard boxes"
Gray and dark brown,high,concrete,Office Building / Commercial Building,"Signs in Chinese characters, Metal shutters over some ground - level entrances"
White,high,concrete,Office Building / Commercial Building,"Large, textured concrete panels on the facade, Ground - level windows and a metal shutter, Stacked boxes outside the entrance"
Brown and gray,high,brick and concrete,Residential / Commercial Building,"a building with an extended, very long front wall., Horizontal bands of brick and concrete, Multiple small signs in various colors"
Yellow and gray,high,concrete,Residential building / Apartment,"Striped awning over a small entrance, Metal shutters over larger openings, Stacked boxes and a hand truck outside"
Gray and brown,low,concrete and brick,Factory,"Chinese commercial signage, piled package and boxes near the entrance, clotheslines with clothes, A single advertisement poster is placed between the two glass sections."
Beige with red accents,high,concrete,Residential building,"two blue-and-white striped awnings in a row, Chinese commercial signage and other stores, piled package and boxes near the entrance"
Gray,high,concrete,Residential building / Apartment,"A long gray concrete wall with several types of doors: rusty metal gates, roller shutters, and glass entrances., Signs in Chinese characters, Red awnings over some windows, Stacked boxes and hand trucks outside, Clothes hanging outside upper - floor windows"
White and gray,high,concrete,Office Building / Commercial Building,"Signs in Chinese characters, Stacked boxes and equipment outside, "
Red and green,high,concrete and glass,Residential building / Hotel,"Curved pink brick facade on the lower levels, Multiple floors of windows, several benches and trash bins outside"
Gray and beige,high,concrete and glass,Residential / Commercial Building,"Signs in Chinese characters,  Two white round tables with red legs are placed in front of the wall., A long gray wall with multiple glass door entrances."
Gray and pink,high,concrete,Residential building / Apartment,"Signs in Chinese characters, Metal shutters over some ground - level entrances, Exposed concrete texture on the facade"
Gray and pink,high,concrete,Residential building / Hotel,"Signs in various colors, including red and black, Exposed concrete texture with weathering, curved concrate facade, stacked boxes and a handcart outside"
Gray and brown,high,concrete and glass,Office Building / Commercial Building,"a long brown brick wall with several sections of gray metal roller shutters and glass doors, Large glass windows with green tint on the second floor, Stacked boxes and green dumpsters outside"
White,high,glass and concrete,Office Building / Commercial Building,"Modern, sleek design with large glass windows, Above the glass panels, horizontal metal ventilation grilles run across the facade., Some lower - level windows covered with metal shutters"
Gray on the lower floors and beige on the upper floors,high,concrete and glass,Residential / Commercial Building,"Two trash bins at the door entrances., Three prominent cylindrical columns in the center"
Gray and brown,high,concrete,Residential building / Apartment,"a long brown brick wall with several sections of gray metal roller shutters and glass doors, Metal shutters over some ground - level entrances, Stacked boxes and hand trucks outside"
Gray,high,concrete and glass,Office Building / Commercial Building,"The ground floor has glass storefront panels following the curve., rounded lower section with large windows, boxes and utility containers outside the building"
Mainly white,high,concrete,Residential building / Apartment,"Green trash bins are placed along the storefront, under the large billboard., Large digital billboard with Chinese text, Modern glass facade with metal framing, Stacked boxes and equipment outside"
Mainly white with green glasss,high,concrete,Residential building / Apartment,"Large, cylindrical white columns, Modern glass facade with green tint, Checker - board pattern on the exterior walls, Bicycles parked outside"
Pink,high,brick and concrete,Residential building / Apartment,"Signs in Chinese characters, Striped awning over a small entrance, Stacked boxes and a hand truck outside"
Brown and yellow,high,brick and concrete,Residential building / Apartment,"rectangular vertical windows, commercial signages for stores, boxes and a handcart outside the ground - floor shops"
Gray,high,concrete,Residential building / Apartment,"Green scaffolding on part of the facade, windows covered with various colorful posters, stacked boxes and a handcart outside"
Brown and concrete - gray,low,concrete,Parking garage,"large Chinese characters on the facade, boxes and a handcart outside the building, metal shutters"
Brown,high,concrete,Residential building / Apartment,"large billboard with Chinese characters, boxes and a small outdoor setup at the base, a dark wall with three glass doors"
Gray and brown,high,concrete and brick,Residential building / Apartment,"large billboard with Chinese characters, Blue striped awnings over some windows, boxes and items outside the building"
Light pink and off white,high,concrete,Residential building / Apartment,"Chinse commercial signages, multiple blue striped awnings over some windows"
Gray,high,concrete,Residential building / Apartment,"Blue and red chinese commercial signages, boxes and a handcart outside the building"
Gray and blue,high,"brick, concrete and glass",Residential building / Apartment,"Red and Yellow Chinese commercial signages, boxes and a handcart outside the building, an overflowing trash bin and a fallen orange trash container"
Gray and white,medium,concrete,Residential building / Apartment,"boxes and packages outside the building, multiple glass doors,  A giant billboard above shows green juice bottles and spinach leaves."
"Pink, gray and beige",low,concrete,Residential building / Apartment,"A red lantern hangs near the rightmost shop., a blue electronics store sign, boxes and handcart, A gray concrete wall with multiple entrances: some covered by roller shutters, others with glass doors."
Gray,low,concrete,Residential building / Apartment,"The right side features two rusted metal doors with green trash bins placed nearby., A gray concrete wall with multiple entrances., commercial signages, boxes and handcart"
Gray and brown,high,concrete and brick,Residential building / Apartment,"Chinese commercial signages, handcarts outside, two blue striped awnings over some windows, a red and yellow signage, multiple glass doors"
Brown and gray,medium,concrete,Residential building / Apartment," three vertical hanging signs in green, blue, and black., A light gray concrete wall with multiple glass door entrances"
Gray and white with green accents,high,concrete and glass,Commercial Building,"large billboard with Chinese characters, Large, arched concrete columns, Modern glass facade with green tint, Large, open - plan interior visible through the glass, Green and white trash bins outside"
Red - brick and gray,high,brick and concrete,Residential / Office Building / Commercial Building,"Traditional red brick facade with white concrete borders, Multiple rectangular windows with metal frames, Symmetrical design with vertical concrete elements"
Gray,high,Stone,Office Building / Commercial Building,"A gray tiled stone wall, Regularly spaced rectangular windows with some covered by shutters, Symmetrical and repetitive architectural design"
Beige and gray,high,brick and glass,Office Building / Commercial Building," Vertical wall lights mounted on the brick columns, Multiple metal-framed glass awning, Large, numerous glass windows providing ample natural light, Symmetrical architectural layout"
Gray,high,concrete and glass,Office Building / Commercial Building,"square white pillars,  a glass storefront at the ground level, Modern structural design with prominent columns at the base"
Dark gray,high,concrete,Office Building / Commercial Building,"Large, floor - to - ceiling glass windows, Textured, speckled concrete facade, Visible interior columns through the glass, Symmetrical arrangement of windows and structural elements"
Gray and dark brown,high,concrete and glass,Office Building / Commercial Building,"sharp building corner, Modern design with extensive use of glass and metal, Large, floor - to - ceiling windows providing a clear view of the interior, large glass panels divided by brown metal frames"
Dark gray,high,concrete and glass,Office Building / Commercial Building,"Uniform gray concrete facade with white horizontal lines, Rectangular windows with metal frames, Visible interior columns through the glass, Simple and functional architectural design"
Beige,high,stone and glass,Office Building / Commercial Building,"Three large, arched glass windows on the lower level, Stone - textured facade giving it a classic appearance, Symmetrical architectural design"
Red - brick with beige accents,high,"brick, concrete, and glass",Office Building / Commercial Building,"Brick - clad with beige horizontal bands, Large, open - plan ground floor with glass walls, Symmetrical architectural design"
Red - brick with gray accents,medium,brick and concrete,Office Building / Commercial Building,"Large rectangular glass windows on the ground floor, Vertical light stone columns , Curved architectural details at the corners"
Red - brick with beige accents,low,brick and glass,Clean laundry,"Traditional red brick facade with white horizontal accents, Mixture of rectangular and arched windows with white frames, Outdoor wall - mounted lights, an attached smaller side building featuring a glass facade labeled 'CLEAN LAUNDRY'"
Dark gray - brick,medium,brick and glass,Office Building / Commercial Building,"Large rectangular glass windows on the ground floor, Dark gray awnings over the ground - floor windows, Air conditioning units installed on the second floor windows"
Gray,medium,stonee and glass,Office Building / Commercial Building,"Large, dark - framed glass doors on the ground floor, Smaller rectangular windows above the doors, Air conditioning units installed above some windows"
Red - brick with gray accents,medium,brick and concrete,Residential building / Apartment,"a single leafy tree planted in a small square green patch., grid-patterned glass, Brick fence, Green doors on the ground floor, a large black roller shutter on the left,  Decorative round emblems are placed above the storefronts."
Red - brick with beige accents,high,brick and concrete,Residential building / Apartment,"Large garage doors on the ground floor, Wall - mounted lights in front of the building, multiple black awnings, white signs reading 'MILLWORKS', 'CREEK DELI', and 'FIRE GRILL'"
Red - brick with gray accents,high,brick and glass,Office Building / Commercial Building,"Large, dark - framed glass windows on the ground floor, Dark overhang above the ground - floor windows, Golden sign reading 'Bar & Grill'"
Gray - brick,high,brick and concrete,Residential building / Apartment,"A light stone ground floor with black-framed glass windowsd , One arched glass door in the center, Fire escape on the upper facade"
Gray - brick,high,brick and concrete,Office Building / Commercial Building,"Six large, arched glass windows and doors, Two smaller rectangular side doors, Black - framed glass elements, Wall - mounted spherical light fixtures"
Red - brick with beige accents,high,brick and concrete,Warehouse / Industrial Building," A large black arched gate is in the center, Fire escape on the side, Wall - mounted light fixtures, Narrow green lawn areas with black fences"
Red - brick with gray accents,medium,brick and concrete,Hospital (medical facility),"Large glass windows for natural light, Signage for 'CENTRAL HOSPITAL' on the entrance, Ramps and steps for accessibility"
White with gray accents,low,concrete,School,"Rectangular green - framed windows, Large central entrance with steps, Beige structural elements on the facade"
Gray with green accents,high,"steel, glass, and concrete",landmark,"Exposed steel framework, Green - tinted glass windows, Circular windows on the lower facade, Modern, sleek design"
Gray - brown with green accents,high,concrete and glass,landmark,"Large billboard advertisement, Multiple rectangular windows with dark frames, Metal structural elements on the green - tinted glass facade"
Gray with green accents,high,concrete and glass,landmark,"Large, vertical glass windows with green tint, Horizontal concrete panels on the facade, Circular and rectangular architectural elements, Covered entrance area with columns"
Gray with green accents,high,concrete and glass,landmark,"Green - tinted glass windows, Modern, sleek design, Curved architectural elements, Glass - enclosed walkways"
Gray with green accents,high,concrete and glass,landmark,"Large, green - tinted glass windows on upper floors, Dark gray horizontal bands on the facade, Concrete base with curved driveway, Cylindrical bollards near the entrance"
Gray with green accents,high,concrete and glass,landmark,"Horizontal dark gray bands on the facade, Large, cylindrical concrete columns, Modern, angular architectural design"
Brown and beige,medium,Brick and concrete,Commercial building / Hotel,"A large black canopy supported by angled rods covers multiple glass door entrances, Multiple arched windows and doors on the ground floor, Rectangular windows with green - tinted glass on upper floors, Ornate brickwork and decorative elements"
Brown and gray,medium,Brick and concrete,Commercial building / Office building,"Arched doorways with decorative stone surrounds on the ground floor, A large red and yellow billboard on the facade"
Gray and black,high,Glass and concrete,Commercial building,"Large reflective glass windows on the facade, Prominent black signage reading 'NATASHA'S EST. 1998', A colorful 'Fizzy Cup' advertisement on the lower right, Rectangular glass - framed entrances on the ground floor"
Gray and green,low,Stone and glass,Commercial / public building,"Large arched glass windows with green framing, Tall classical columns in the front, Intricate stone detailing around windows and doors"
Gray and green,medium,Stone and glass,Museum / Exhibition Hall,"A grand neoclassical building with white stone walls, Tall classical columns in the front, Ornate stone detailing around windows and doors, Grand staircase leading to the entrance"
"Brown, gray and beige",medium,Brick and concrete,Commercial building / Office building,"Arched windows on the ground floor, Staircase with stone railing leading to an entrance, Flagpoles with multiple flags (America, Germanys) flying"
Gray,high,Brick and concrete,office building,"three tall arched windows in the middle, Small circular windows and vertical rectangular windows on the facade"
Gray,low,Stone and glass,Museum / Exhibition Hall,"Large arched windows with dark frames, Tall classical columns in the front, Grand staircase leading to the entrance"
Gray,high,Concrete and glass,Commercial building / Office building,"Numerous rectangular windows with dark frames, A large overhanging awning at the entrance, Small decorative lanterns on either side of the entrance"
Gray and blue,high,Glass and steel,Commercial building / Office building,"Extensive grid - like pattern of glass windows, Large vertical steel columns framing the facade, Multiple sets of glass revolving doors at the entrance"
Gray and black,medium,Glass and concrete,shopping mall,"Large reflective glass windows on the facade, Prominent signage for 'MACBETH' and 'NATASHA'S EST. 1998', A modern white and metallic awning over the entrance, Billboards and advertisements on the exterior"
Gray,high,Stone and glass,Commercial / Office building,"Numerous rectangular and arched windows, Ornate stone detailing around windows and doors, A central arched entrance with a revolving door, Tall vertical columns on the ground floor"
Gray,high,Concrete and glass,Bell Tower,"Uniform rows of rectangular windows, Vertical light fixtures on the facade, Metal - gated entrances"
Gray and green,high,Stone and glass,landmark,"Large arched windows with dark frames, Ornate stone detailing around windows and doors, Small decorative lanterns between windows"
Gray and beige,high,Concrete and glass,Commercial / Office building,"Rectangular windows with dark frames, American flags hanging on the facade, Large glass - framed entrances"
Gray,high,Concrete and glass,Commercial / Office building,"Large glass - framed entrances with dark frames, Textured stone - like patterns on the facade, Uniform architectural design across floors"
Green and black,high,Glass and steel,Commercial building,"Abundant grid - like glass windows, Numerous colorful billboards and advertisements on the facade, Modern, sleek architectural design"
Gray,high,Concrete and glass,Commercial building,"Large vertical billboards advertising 'SUNDOWN WHISKEY' and other events, Circular windows on the lower facade, Brightly lit digital signs reading 'CLASH'"
Gray,medium,Concrete and glass,Commercial building,"Tall vertical columns on the facade, Large arched windows with glass panes, Red banners with 'SUPERDRIP' text, A modern overhanging entrance with glass doors"
Gray and white,medium,Concrete and glass,museum,"Arched windows with glass panes, Colorful vertical banners with 'SUPERDRIP', 'TLK' and geometric patterns, A modern overhanging structure with glass elements"
Gray and brown,high,Stone and glass,Commercial / Office building,"Uniform grid of rectangular windows, Dark - framed entrance doors with glass panels, Small decorative lanterns near the entrance, Ornate stone detailing around doors and windows"
Gray and beige,medium,Stone and glass,Commercial / Office building,"American flags hanging on the facade, Gray awnings over the ground - floor windows, Small decorative elements around windows and doors"
Gray,high,Concrete and glass,Commercial / Office building,"Large glass - framed entrances, Prominent vertical concrete columns on the facade"
Gray,high,Concrete and glass,landmark,"American flags hanging on the facade, Sleek, modern architectural design, Uniform grid - like pattern of windows"
Gray and black,high,Concrete and glass,landmark,"A unique geometric - shaped entrance with dark framing, Sleek, modern architectural design, Uniform facade with subtle texture variations"
Gray and green,high,Glass and steel,landmark,"Abundant grid - like glass windows, Large, colorful billboards advertising 'SUPERDRIP' and 'CLASH! THE MUSICAL', Modern, sleek architectural design, Curved glass - framed sections on the lower facade"
Green and black,high,Glass and steel,shopping mall,"Diagonal structural steel lines creating a dynamic pattern on the facade, Large, eye - catching billboards advertising 'MACBETH', 'STOP IN BROOKLYN' and 'TLK', A modern, minimalist entrance with a small overhang"
Gray and glass - reflective,low,"Concrete, glass, and steel",stadium,"Large, circular glass - domed roof, Prominent steel arch structures extending from the roof, Abundant colorful billboards and advertisements, A modern entrance with steps and a wide overhang, A large facade covered with glass panels"
Brown and gray,medium,Brick and stone,landmark,"Arched windows with gray stone detailing, Small gray awnings over the ground - floor windows, A large central arched entrance with glass panels, Ornate architectural details around windows and doors"
Gray and black,high,Concrete and glass,Commercial / Office building,"Vertical lines of rectangular windows, A unique geometric - shaped entrance with dark framing, Sleek, modern architectural design, Uniform facade with subtle texture variations"
"Gray, green and black",high,Glass and steel,Commercial building,"Abundant grid - like glass windows, Large, colorful billboards advertising 'VALLEY VR' and 'FINANCE SAFE', Modern, sleek architectural design, A distinct green - tinted section on the facade"
